date,author,text
2022-12-19 08:45:35,sylsau,"Tout d'abord, merci à L'Equipe pour cette petite polémique du lundi matin après une fin de soirée du dimanche difficile :)

Alors, quelles sont les raisons invoquées par L'Equipe ?

&gt;Selon le règlement, le second but de Lionel Messi, dans la prolongation, aurait dû être refusé par l'arbitre de la rencontre, Szymon Marciniak. Des remplaçants argentins étaient, déjà, sur la pelouse avant que le ballon ne dépasse la ligne de but d'Hugo Lloris.

Et cette réflexion ne vient pas que d'un média Français. D'autres médias Anglais en parlent depuis hier soir.

La loi 3, alinéa 9 des lois du football stipule :

&gt;""Si, après qu'un but est marqué, l'arbitre se rend compte avant la reprise du jeu qu'une personne supplémentaire était sur le terrain au moment où le but a été marqué : l'arbitre doit refuser le but si la personne supplémentaire était : un joueur, un remplaçant, un joueur remplacé, un joueur exclu ou un officiel de l'équipe qui a marqué le but ; le jeu doit reprendre par un coup franc direct à l'endroit où se trouvait la personne supplémentaire.""

Voilà une polémique (stérile car la FIFA ne changera plus rien désormais) qui entrera elle aussi dans légende des finales de la Coupe du Monde."
2022-12-19 07:48:49,sylsau,"Il a globalement raison. Le niveau est plus élevé en Europe. C'est d'ailleurs la raison pour laquelle tous les meilleurs Sud-Américains viennent jouer en Europe. La raison pour laquelle le mondial des clubs est presque toujours gagné par l'équipe Européenne.

Ce n'est pas insultant de dire la vérité.

Et justement, tous ces joueurs Sud-Américains qui viennent jouer en Europe permettent ensuite à l'Argentine et au Brésil de briller.

CQFD."
2022-12-18 20:27:20,sylsau,"Deux parmi ceux listés par L'Equipe:

* Mbappé est devenu le deuxième joueur de l'histoire à inscrire un triplé en finale de Coupe du monde après Geoff Hurst en 1966.
* Mbappé a écrit l'histoire en devenant le premier joueur à signer quatre buts en finale de Coupe du monde, après celui inscrit face à la Croatie en 2018."
2022-12-18 11:39:07,sylsau,"Deux jours après avoir battu l'Ukraine (3-0), l'équipe de France s'est inclinée face à la Pologne (7-4), samedi à Marseille lors du dernier match du Tournoi des trois nations. Alors que le score était de 2-2, après des réalisations de Tomas Simonsen et Dylan Fabre, au début de la deuxième période, les Bleus ont encaissé quatre buts en 12 minutes.

Ils sont ensuite revenus à 6-4, grâce à Robin Colomban et Bastien Maia, dans la troisième et dernière période. Mais cela a été insuffisant pour rattraper les Polonais. Vainqueurs de l'Ukraine (4-3), vendredi, ces derniers ont remporté le tournoi Marseillais.

J'ai eu la chance d'aller assister à ce match hier soir dans une belle ambiance.

Malheureusement, les Français ont concédé trop de buts ""bêtes"" face à des Polonais qui n'en demandaient pas tant. La Pologne a joué un match très viril dépassant souvent les limites comme sur cette action en troisième période où le Polonais a jeté le Français à terre en le prenant à la gorge. Puis en le tapant au sol ...

Mais c'est ainsi !"
2022-12-17 18:23:01,Miecze,"Probablement à cause de la tension. Généralement il me semble que peu de buts sont marqués, et ceci n'est pas forcément lié à la domination d'une des  équipes.

Après, je ne suis pas du tout intéressé par ce sport non plus. Mais ce que je en comprends pas c'est la façon de s'identifier à l'équipe, et de parler de ""nous"" au lieux de ""eux"". Mais ça peut aussi se rapporter à d'autres sports. Bref, je ne t'apporte pas grand chose."
2022-12-17 15:08:32,sylsau,"&gt;Christopher Nkunku va découvrir un nouveau championnat. Après la Ligue 1, où le joueur formé au PSG a débuté en 2015, et la Bundesliga, où il évolue depuis 2019 et son transfert au RB Leipzig, l'international français va rejoindre la Premier League en juillet 2023. Selon une information de Fabrizio Romano confirmée par L'Equipe, Christopher Nkunku s'est en effet entendu avec Chelsea pour un transfert au prochain mercato d'été.  
&gt;  
&gt;Convoqué par Didier Deschamps pour la Coupe du monde, il avait finalement dû renoncer après avoir contracté une blessure au genou gauche lors du dernier entraînement avant de rejoindre le Qatar. Son club de Leipzig, qui s'est lui aussi entendu avec le club londonien, a cependant autorisé son joueur à retrouver ses coéquipiers dimanche pour la finale des Bleus contre l'Argentine (16 heures).

Certains semblent déjà critiquer son choix de rejoindre Chelsea.

Mais cela me semble être une progression logique pour lui. Chelsea a eu un début de saison difficile, mais ça reste un grand club Européen.

Il va pouvoir être titulaire et s'imposer en Premier League rapidement."
2022-12-16 22:20:19,Vacation-Interesting,"Giroud est sous côté, il pèse énormément sur une défense, j'ai eu la chance de le voir avec tours en L2 à plusieurs reprises conte mon équipe d'arles Avignon et il était clairement au dessus du lot, j'avais la même impression avec Gaetan Charbonnier("
2022-12-14 21:41:00,AcreneQuintovex,"Il supporte l'équipe qu'il veut, comme tout le monde.

C'est incroyable que certains y voient un vecteur de polémique"
2022-12-14 21:38:29,AcreneQuintovex,"Mais à quel moment c'est parti en vrille dans ce pays pour que le foot soit un indicateur d'une haine latente? Nan mais ça va pas bien là.

A l'époque de Zizou on s'en battait les reins de ce genre de choses, les supporters de n'importe quelle origine étaient pour leur équipe favorite en fonction des joueurs star de l'équipe. 

Zidane, Barthes, Henry, ces mecs là ont fait vibrer le monde entier et les maillots de l'équipe de France se vendaient partout, même en Italie et au Brésil (et on se souviendra de Ronaldo et de son jeu implacable).

Et aujourd'hui on a un ahuri qui nous dit que ne pas supporter son équipe c'est dû à une haine latente de son propre pays? 

Alors je dois être le pire des traîtres car je suis un fier supporter du Brésil depuis des lustres, et le parcours du Maroc fût tellement beau que j'ai un immense respect pour cet équipe.

Franchement mon gars, va te faire foutre."
2022-12-14 19:51:46,GenderfluidPhoenix,Oh la la tous les commentaires pour l’équipe qui va perdre vont être INONDÉS de downvotes… les pauvres. J’aime pas le foot mais quand mêne les gars… faut arrêter.
