created_at,user_id,text
Mon Dec 26 19:21:19 +0000 2022,1213153927425712129,@jmapelmael non c’est pas bon j’suis lesbienne
Mon Dec 26 19:19:58 +0000 2022,1090465128829599744,@wu_tang92 Un mec qui ressemble a une lesbienne qui a réussi à faire triplette que dis !!? Quadruplette !
Mon Dec 26 19:18:27 +0000 2022,1562181742898954240,@czltrr tout le monde est lesbienne marina
Mon Dec 26 19:17:42 +0000 2022,1546286439868030976,@im4nea je rigole on est pas pd nous 😹😹
Mon Dec 26 19:16:44 +0000 2022,1458112027273179138,@Annedeuxtroisqu T'as légalement le droit de leur demandé si tu ressembles à un pédé
Mon Dec 26 19:16:34 +0000 2022,1604596558867173378,"""Célibataire, lesbienne et féministe"" 

Hystérique aurait suffit. https://t.co/vuBklJUuA8"
Mon Dec 26 19:15:23 +0000 2022,1006613700999073793,@vlcnlvt Je trouve ça pertinent par rapport au male gaze parceque le livre est écrit par une femme lesbienne et le… https://t.co/kqDaqdLybf
Mon Dec 26 19:15:00 +0000 2022,1281566352835252224,"Darwin 15 tirs 0 buts, l’autre 1 but 1 tir ( gg nunez pour la pd )"
Mon Dec 26 19:13:35 +0000 2022,1605146041141137410,POURQOI JE SUIS PAS LESBIENNE POURQUOI PITIEEEEE POURQUOIIKKKIIIIKIII JAI TROP MAL À LA TÊTE https://t.co/pLLHIpmXKw
Mon Dec 26 19:13:19 +0000 2022,1303411614234836997,Tout ce que je fuis en tant que grosse lesbienne refoulée https://t.co/HJi6KvTW8N
Mon Dec 26 19:12:20 +0000 2022,1330598996000305155,Mais toi Jvais vrm te bz tmr lache une adresse un jour ou lieu douvrir ton cul sur Twitter sale pd https://t.co/USgaSm7ojm
Mon Dec 26 19:10:59 +0000 2022,1578124069777670159,Moi je peux t insulter de pd sinon  ya pas de galère c une insulte banal hein https://t.co/p9QArNluff
Mon Dec 26 19:10:33 +0000 2022,1588624795482177542,@pimien_15 @Mahito_Tomura @PatrickAdemo bande de pd
Mon Dec 26 19:09:46 +0000 2022,974692440421666818,"@LilyyNelson Vui, mais je veux quand même être la lesbienne de Clea DuVall !!! https://t.co/WFgMLwdMpm"
Mon Dec 26 19:08:50 +0000 2022,1263152536581812224,y a un compte fake gars qui m’ajoute dpuis talheur si c lui jvais le monter en l’air ce pd
Mon Dec 26 19:02:45 +0000 2022,28208597,@cvmacedog réveillon pede mais né
Mon Dec 26 19:02:32 +0000 2022,1362013512688664579,@el_you97 @tozemouk @InfosOM_ @ELDEBATE Bah quand tu fais 26 buts et 16 PD en une saison c’est pas mal
Mon Dec 26 19:01:32 +0000 2022,1283153294446202887,lesbienne 2 https://t.co/57iGJlcsVD
Mon Dec 26 19:01:26 +0000 2022,1283153294446202887,lesbienne 1 https://t.co/5bS7KXQqKU
Mon Dec 26 19:00:01 +0000 2022,1539657588584898562,@dorobo_lala @evxszn @kujantho @nai_inno C’est vrai t’est lesbienne
Mon Dec 26 18:55:29 +0000 2022,1562767614937812993,@kc667ekip Ils nous cassent les couilles les pd la
Mon Dec 26 18:54:30 +0000 2022,1520921717920706561,"mais les meuf la qui disent ""oue c ma came"" etc wallah que c très lesbienne comme comportement hein https://t.co/2Ytf22j8tC"
Mon Dec 26 18:53:52 +0000 2022,1596185810503667713,@nopsito_off @cpastibo @Mattotf1 ta pas la ref c pr sa g rien contre les pd tkt
Mon Dec 26 18:50:05 +0000 2022,1085642357301755905,"@le_chaman Nan mais evidemment que c’est degueulasse, je plaisante juste sur le peu de chance que j’ai de la convai… https://t.co/PT1Y8OAFvK"
Mon Dec 26 18:49:17 +0000 2022,563941393,@Tsubasachb10 T’es grave pd va
Mon Dec 26 18:49:05 +0000 2022,1362194255721222146,Les hommes qui portent des boucles d’oreilles et qui écoutent de la kpop sont des pd et aimer les zizi
Mon Dec 26 18:47:57 +0000 2022,1080556109302321152,c’est qui ce pd https://t.co/3CITpNsHEb
Mon Dec 26 18:44:36 +0000 2022,1429770347021324295,@Anthobaks Pt etre cest votre club de merde qui a causé  ça pd
Mon Dec 26 18:44:01 +0000 2022,1448744882718322694,@213poursangzoo Jss pd et jm fifa ca veut r dire
Mon Dec 26 18:43:52 +0000 2022,1153076047426048000,@mrtalou Tellement plus de trophée qu’il ont célébré le 0-4 contre le réal pd 6mois
Mon Dec 26 18:43:36 +0000 2022,272402756,"10 matchs de PL, 5 buts 2 PD… et sa vient casser les couilles. https://t.co/y6nm1p8WZa"
Mon Dec 26 18:43:13 +0000 2022,1429770347021324295,@Ryomen6ukuna @Lanta0_0 @_FarouqOlami Hien alors prq sifler Messi alors que sans lui aussi vous avez rien gagner bande des pd
Mon Dec 26 18:43:09 +0000 2022,1543303219450871814,@_karltchs Vraiment qu’il devienne pd
Mon Dec 26 18:42:47 +0000 2022,1546286439868030976,@Zaarky_adrena je vais ramener tous mes pd pour te raid
Mon Dec 26 18:42:08 +0000 2022,715561165846409217,"@Mimolettus_ Que les tweets soient problématiques ou pas, le fait que des gens tappent « pd » « arabe »…. dans la b… https://t.co/NucOxmWvLp"
Mon Dec 26 18:41:52 +0000 2022,4821008854,@maisquoifeur jme posais pas de questions mais quand j'ai été confronté pour la première fois à une pote lesbienne… https://t.co/U7pZumAplk
Mon Dec 26 18:41:15 +0000 2022,1310191288755597312,@futurmedjay commence par enlever ta photo de lesbienne
Mon Dec 26 18:40:26 +0000 2022,809037627747921920,Elle envoie sa coupe a ce pd… https://t.co/xnvUqRup1R
Mon Dec 26 18:40:08 +0000 2022,1364180284527308801,ça me fou tellement la haine quand mes darons me disent « t’es tellement différente quand t’es avec tes amis » bah… https://t.co/vtUC0BO8ik
Mon Dec 26 18:37:42 +0000 2022,1220033328948109312,@dreamhitoshi t'es la première lesbienne que je rencontre qui valide cet animé wshsjdjrjejd on s'attend à un truc de fou et au final RIEN
Mon Dec 26 18:36:12 +0000 2022,1523438339805822978,@Boumboumfr @BilalLefus @BilalLefus on va le ramener sur warzone il va voir c qui le pd
